Q10345998	Berger des Pyrénées à poil long
Q10520346	Greek Shepherd Dog
Q105955	Elo (dog breed)
Q10657975	Russian Hound
Q107303989	Buckhound
Q107448399	West Country Harrier
Q107804694	Sarail hound
Q1092646	Ciobanesc Romanesc Carpatin
Q11044643	Swinford Bandog
Q1118460	Shiba Inu
Q11294205	Catahoula Leopard Dog
Q11385	Brandlbracke
Q1147739	Alaunt
Q11716842	Dachshund
Q11883725	Mâtin
Q11902355	Westfalenterrier
Q12164120	Ukrainian mountain hound
Q1233213	Dobermann
Q12593214	Donggyeongi
Q13212637	Poodles
Q13631411	Petit Brabançon
Q14834025	Indian pariah dog
Q15618573	Lucas Terrier
Q16039619	Berger des Pyrénées à face rase
Q16245559	Aksaray Malaklısı
Q16639970	Großspitz
Q17023476	Tong gau
Q1742290	Kintamani (dog)
Q17446281	Sabueso Fino Colombiano
Q17504	Dalmatian
Q17510	West Highland White Terrier
Q1752106	Cane di Oropa
Q17521154	Segugio italiano
Q1752116	Segugio Maremmano
Q1753948	Mackenzie River Husky
Q1770291	Bakhmull
Q1779696	Danish spitz
Q1780869	Brazilian Dogge
Q1806071	African Hairless Dog
Q18418019	Chamuco
Q18464858	Brazilian Bull-mastiff
Q18655533	English Pointer
Q1990683	Pandikona
Q204592	Hokkaido (dog)
Q20860	Wetterhond
Q2087267	Laika (dog breed)
Q21074	Maremma Sheepdog
Q21080	Afghan Hound
Q21082	Cane Corso
Q21102	Beagle (dog)
Q21205	Alaskan Husky
Q21206	Alaskan Malamute
Q21729669	Tornjak
Q231959	Greyhound
Q2446076	Boerenfox
Q2503464	Bulgarian Barak
Q25399507	Spino degli Iblei
Q26272045	Griffon Bruxellois
Q2642504	Karelo-Finnish Laika
Q29013	Chow Chow
Q29022	English Springer Spaniel
Q29028	Combai
Q29040	Canadian Eskimo Dog
Q29047	Cantabrian water dog
Q29054573	Pomeranian
Q29058	Gos-d'Atura-Catala
Q29084	Chesapeake Bay Retriever
Q29114	Hollandse Herdershond
Q29127	Dansk-Svensk Gaardshund
Q29149	French Bulldog
Q29160	French Spaniel
Q29164	Akita Inu
Q29170	Korean Jindo
Q29174	Pungsan Dog
Q29177	Field Spaniel
Q29178	Sabsal Gae
Q29188	Suomenlapinkoira
Q29195	Finnish Spitz
Q29200	Flat-Coated Retriever
Q29212	Taiwan Dog
Q2961129	Charnaigre
Q3244349	Husky
Q326532	Cão de Gado Transmontano
Q3270663	Český strakatý pes
Q3272034	Grecian Greyhound
Q3322296	Can de palleiro
Q3398688	Welsh hound
Q3438758	Nenets Reindeer Herding Laika
Q3556229	Vertragus
Q3574099	Can de Chira
Q3621454	Bulgarian Hound
Q37464	Telomian
Q37469	Altdeutscher Hütehund
Q37473	American Staghound
Q37478	Beagle-Harrier
Q37482	Anglo-Francais De Petite Venerie
Q37487	Ariégeois
Q37489	Alapaha Blue Blood Bulldog
Q37491	Berner Laufhund
Q37494	Gammel Dansk Hønsehund
Q37498	Alpine Dachsbracke
Q37503	Australian Stumpy Tail Cattle Dog
Q37508	American Hairless Terrier
Q37510	American Toy Terrier
Q37514	American Foxhound
Q37520	Australian Kelpie
Q37524	Australian Silky Terrier
Q37530	Australian Terrier
Q37534	American Akita
Q37537	Black and Tan Coonhound
Q37546	Bisben
Q37550	Boston Terrier
Q37552	Basset bleu de Gascogne
Q37558	Border Terrier
Q37561	Basset artésien normand
Q37566	Bolognese (dog)
Q37568	Bluetick Coonhound
Q37570	Basset Fauve de Bretagne
Q37572	Majorero Canario
Q37574	Serbian Hound
Q37575	Biewer Terrier
Q37576	Bayerischer Gebirgsschweißhund
Q37578	English Coonhound
Q37579	Blue Lacy
Q37582	Bedlington Terrier
Q37585	Barbet
Q37589	Boerboel
Q37595	Australian Cattle Dog
Q37600	Bichon Frisé
Q37604	American Bulldog
Q37608	Bernese Mountain Dog
Q37612	American Pit Bull Terrier
Q37617	Airedale Terrier
Q37619	Bearded Collie
Q37624	Belgian Shepherd
Q37629	Australian Shepherd
Q37632	Braque du Bourbonnais
Q37635	Berger Picard
Q37637	Billy (dog)
Q37644	Perro Cimarrón
Q37645	Briquet Griffon Vendéen
Q37649	Ca de Bestiar
Q37650	Dunker
Q37656	Dupuy Pointer
Q37657	Braque Saint-Germain
Q37659	Ca Rater Mallorquí
Q37664	Braque de l'Ariège
Q37666	Český fousek
Q37667	Chippiparai
Q37670	Caravan hound
Q37673	Chinese Chongqing Dog
Q37676	Ca de bou
Q37678	Chortaj
Q37680	Bully Kutta
Q37688	American Staffordshire Terrier
Q37690	Alano Español
Q37692	Bosanski Oštrodlaki Gonič - Barak
Q37697	Appenzeller Sennenhund
Q37699	American Eskimo Dog
Q37704	Old English Sheepdog
Q37710	Border Collie
Q37716	Basset Hound
Q37720	Beauceron
Q37721	Carolina Dog
Q37722	Chinook (dog)
Q37725	Catahoula Bulldog
Q37727	Braque d'Auvergne
Q37728	Braque Français
Q37730	Cão Fila de São Miguel
Q37734	Cao de Serra de Aires
Q37737	Broholmer
Q37741	Bouvier des Ardennes
Q37746	Chodský pes
Q37750	Presa Canario
Q37755	Ibizan Hound
Q37758	Chien d'Artois
Q37764	Continental Bulldog
Q37769	Grand Bleu de Gascogne
Q37771	Cursinu
Q37773	Deutsch Stichelhaar
Q37775	Drever
Q37780	Srpski Trobojni Gonic
Q37782	English Toy Terrier
Q37786	Pyrenean Shepherd
Q37789	English Foxhound
Q37793	Deutscher Pinscher
Q37795	Ciobănesc Românesc Corb
Q37798	Epagneul bleu de Picardie
Q37803	Pyrenean Mountain Dog
Q37808	Fila Brasileiro
Q37811	Deutsch Drahthaar
Q37815	Belgian Shepherd Laekenois
Q37821	Briard
Q37824	Deutscher Wachtel
Q37827	Dutch Partridge Dog
Q37830	English Shepherd
Q37832	Mioritic Sheepdog
Q37834	Deutsch-Langhaar
Q37838	Deutsche Bracke
Q37840	Finnish Hound
Q37844	Epagneul de Pont-Audemer
Q37848	Boykin Spaniel
Q37851	Clumber Spaniel
Q37856	American Water Spaniel
Q37859	Azawakh
Q37866	Borzoi
Q37871	Basenji
Q37878	Dogue de Bordeaux
Q37880	Bangkaew Dog
Q37888	Cairn Terrier
Q37892	Chinese Crested Dog
Q37896	Bouvier des Flandres
Q37899	Jagdterrier
Q37904	Aidi
Q37909	Argentine dogo
Q37917	Ciobanesc Romanesc de Bucovina
Q37920	Galgo español
Q37925	Sloughi
Q37929	Deerhound
Q37934	Berger Blanc Suisse
Q37939	Spanish Mastiff
Q37941	Grand Griffon Vendéen
Q37946	Eurasier
Q37950	Karelian Bear Dog
Q37954	Kraški ovčar
Q37963	Mucuchies
Q37964	Luzerner Laufhund
Q37967	Miniature Bull Terrier
Q37969	Hollandse Smoushond
Q37972	Lancashire Heeler
Q37974	Kerry Beagle
Q37976	Japanese Terrier
Q37978	Hamiltonstövare
Q37982	Haldenstovare
Q37986	Entlebucher Sennenhund
Q37989	Lurcher
Q37991	Griffon Bleu de Gascogne
Q37993	Griffon Fauve de Bretagne
Q37997	Gascon Saintongeois
Q38000	Grand Basset Griffon Vendéen
Q38001	Boulet Griffon
Q38008	Markiesje
Q38016	Hygenhund
Q38018	Longdog
Q38020	Yakutian Laika
Q38025	Kerry Blue Terrier
Q38027	Petit chien lion
Q38030	Epagneul Picard
Q38036	Kleiner Münsterländer
Q38038	Jura Laufhund
Q38041	Hannoverscher Schweisshund
Q38047	Irish Soft Coated Wheaten Terrier
Q38051	Gończy Polski
Q38055	Griffon Belge
Q38059	Kyi Leo
Q38063	American Cocker Spaniel
Q38072	Cavalier King Charles Spaniel
Q38074	Kritikos Lagonikos
Q38080	Bullmastiff
Q38084	German Shorthaired Pointer
Q38090	St. Bernard dog
Q38092	Tazi (dog)
Q38096	Cão da Serra da Estrela
Q38099	Cão de Castro Laboreiro
Q38102	Slovenský kopov
Q38103	Maneto
Q38105	Jämthund
Q38107	Harrier (dog breed)
Q38110	Lakeland Terrier
Q38115	Papillon dog
Q38121	Grosser Schweizer Sennenhund
Q38126	Japanese Spitz
Q38132	King Charles Spaniel
Q38134	Antebellum Bulldog
Q38145	Alsatian Shepalute
Q38146	Japanese Chin
Q38152	Alaskan Klee Kai
Q3815586	Carea Leonés
Q38156	Brittany (dog)
Q38162	Irish Water Spaniel
Q38165	Perdigueiro Português
Q38168	Olde English Bulldogge
Q38172	Old White English Terrier
