,path,wikidata_id,label,is_train_val,kfold
0,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0000.jpg,Q10345998,0,1.0,0.0
1,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0002.jpg,Q10345998,0,1.0,0.0
2,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0003.jpg,Q10345998,0,1.0,0.0
3,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0004.jpg,Q10345998,0,1.0,0.0
4,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0005.jpg,Q10345998,0,1.0,0.0
5,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0006.jpg,Q10345998,0,1.0,1.0
6,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0007.jpg,Q10345998,0,1.0,1.0
7,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0008.jpg,Q10345998,0,1.0,1.0
8,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0010.jpg,Q10345998,0,1.0,1.0
9,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0011.jpg,Q10345998,0,1.0,1.0
10,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0012.jpg,Q10345998,0,1.0,2.0
11,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0013.jpg,Q10345998,0,1.0,2.0
12,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0014.jpg,Q10345998,0,1.0,2.0
13,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0015.jpg,Q10345998,0,1.0,2.0
14,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0016.jpg,Q10345998,0,1.0,2.0
15,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0017.jpg,Q10345998,0,1.0,3.0
16,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0018.jpg,Q10345998,0,1.0,3.0
17,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0019.jpg,Q10345998,0,1.0,3.0
18,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0021.jpg,Q10345998,0,1.0,3.0
19,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0023.jpg,Q10345998,0,1.0,3.0
20,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0024.jpg,Q10345998,0,1.0,4.0
21,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0026.jpg,Q10345998,0,1.0,4.0
22,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0027.jpg,Q10345998,0,1.0,4.0
23,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0029.jpg,Q10345998,0,1.0,4.0
24,/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0030.jpg,Q10345998,0,1.0,4.0
25,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0000.jpg,Q105955,1,1.0,0.0
26,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0002.jpg,Q105955,1,1.0,0.0
27,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0003.jpg,Q105955,1,1.0,0.0
28,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0004.jpg,Q105955,1,1.0,1.0
29,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0005.jpg,Q105955,1,1.0,1.0
30,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0006.jpg,Q105955,1,1.0,1.0
31,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0008.jpg,Q105955,1,1.0,2.0
32,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0009.jpg,Q105955,1,1.0,2.0
33,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0010.jpg,Q105955,1,1.0,2.0
34,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0012.jpg,Q105955,1,1.0,3.0
35,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0013.jpg,Q105955,1,1.0,3.0
36,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0014.jpg,Q105955,1,1.0,4.0
37,/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0015.jpg,Q105955,1,1.0,4.0
38,/content/Instance_level_recognition/app/ml/data/imgs/Q10657975/image_0000.jpg,Q10657975,2,1.0,0.0
39,/content/Instance_level_recognition/app/ml/data/imgs/Q10657975/image_0001.jpg,Q10657975,2,1.0,0.0
