path,wikidata_id,label
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0000.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0001.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0002.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0003.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0004.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0005.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0006.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0007.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0008.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0009.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0010.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0011.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0012.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0013.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0014.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0015.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0016.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0017.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0018.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0019.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0020.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0021.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0022.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0023.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0024.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0025.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0026.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0027.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0028.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0029.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q10345998/image_0030.jpg,Q10345998,0
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0000.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0001.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0002.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0003.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0004.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0005.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0006.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0007.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0008.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0009.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0010.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0011.jpg,Q105955,1
/content/Instance_level_recognition/app/ml/data/imgs/Q105955/image_0012.jpg,Q105955,1
